COD_UE;DEPARTAMENTO;PROVINCIA;DISTRITO;LATITUD;LONGITUD
824;JUNIN;HUANCAYO;HUANCAYO;-12.073140;-75.221741
812;HUANUCO;HUANUCO;HUANUCO;-9.927724;-76.236454
1110;HUANUCO;LEONCIO PRADO;DANIEL ALOMIA ROBLES;-9.175110;-75.888640
828;JUNIN;CHANCHAMAYO;VITOC;-11.294147;-75.327742
1407;LORETO;ALTO AMAZONAS;YURIMAGUAS;-5.887722;-76.113332
1612;JUNIN;CHANCHAMAYO;PICHANAQUI;-10.992033;-74.939889
1301;HUANCAVELICA;CASTROVIRREYNA;HUACHOS;-13.249088;-75.533747
1060;SAN MARTIN;TOCACHE;SHUNTE;-8.352228;-76.729592
1287;LIMA;CA?ETE;IMPERIAL;-13.053107;-76.350453
940;TUMBES;TUMBES;TUMBES;-3.562424;-80.456153
1455;HUANUCO;DOS DE MAYO;PACHAS;-9.620942;-76.758772
769;AREQUIPA;CASTILLA;TIPAN;-15.706325;-72.508457
1348;CUSCO;ANTA;ZURITE;-13.456067;-72.255726
1666;CUSCO;CHUMBIVILCAS;SANTO TOMAS;-14.448405;-72.084612
1502;APURIMAC;AYMARAES;COTARUSE;-14.550102;-73.360725
916;PUNO;AZANGARO;ARAPA;-15.044986;-70.064349
915;PUNO;LAMPA;PUCARA;-14.984130;-70.407458
1306;PIURA;PIURA;VEINTISEIS DE OCTUBRE;-5.183767;-80.665607
899;PIURA;PIURA;PIURA;-5.186350;-80.631382
1130;CUSCO;CUSCO;CUSCO;-13.523148;-71.955713
1322;CUSCO;QUISPICANCHI;CCARHUAYO;-13.596487;-71.399580
917;PUNO;LAMPA;CALAPUJA;-15.314006;-70.219569
1170;CUSCO;LA CONVENCION;SANTA TERESA;-13.331552;-72.718720
1347;CUSCO;LA CONVENCION;VILLA VIRGEN;-13.001395;-73.512381
1045;AYACUCHO;VICTOR FAJARDO;SARHUA;-13.631892;-74.343557
1499;APURIMAC;ANTABAMBA;OROPESA;-14.262784;-72.559031
1169;CUSCO;CUSCO;SANTIAGO;-13.530837;-71.975584
1501;APURIMAC;ANTABAMBA;JUAN ESPINOZA MEDRANO;-14.416882;-72.932192
1117;PIURA;PAITA;PAITA;-5.090815;-81.091531
1625;CUSCO;CANCHIS;SICUANI;-14.265625;-71.228777
1696;HUANUCO;PACHITEA;CHAGLLA;-9.841516;-75.902253
852;LA LIBERTAD;SANTIAGO DE CHUCO;SANTIAGO DE CHUCO;-8.326645;-78.344490
472;PIURA;TALARA;PARI?AS;-4.581594;-81.260788
1740;HUANUCO;YAROWILCA;APARICIO POMARES;-9.673677;-76.655430
1613;JUNIN;SATIPO;PANGOA;-11.427869;-74.490952
766;AREQUIPA;AREQUIPA;AREQUIPA;-16.401595;-71.528378
744;ANCASH;YUNGAY;YUNGAY;-9.101278;-77.712446
1537;ANCASH;SANTA;CHIMBOTE;-9.088430;-78.570410
768;AREQUIPA;CAMANA;NICOLAS DE PIEROLA;-16.572664;-72.715092
1695;HUANUCO;AMBO;AMBO;-10.127779;-76.206629
741;ANCASH;HUARAZ;HUARAZ;-9.534568;-77.529311
